order_id,customer_id,product_id,quantity,unit_price,order_date,delivery_status,payment_method,region,discount_applied,product_name,category,launch_date,base_price,supplier_code,email,signup_date,gender,loyalty_tier,revenue,price_diff,discount_flag,discount_pct_vs_base,order_year,order_month,order_dow,is_delivered,is_delayed,is_cancelled
O966977,C00397,P0022,3,39.25,2025-07-06,delivered,paypal,central,0.0,Cleaning Product 86,cleaning,2024-10-04,19.77,s924,jacquelinemartin@mills-logan.com,2024-09-08,female,silver,117.75,19.48,False,0.0,2025.0,7.0,6.0,True,False,False
O696648,C00236,P0023,5,18.92,2025-07-06,delayed,credit card,north,0.0,Outdoors Product 32,outdoors,2025-01-18,36.04,s907,georgeweber@morgan.com,2024-08-06,other,gold,94.60000000000001,-17.119999999999997,False,0.0,2025.0,7.0,6.0,False,True,False
O202644,C00492,P0011,1,29.68,2025-07-06,delivered,bank transfer,north,0.15,Kitchen Product 53,kitchen,2025-03-25,11.08,s645,lcook@walters-smith.com,2024-09-25,male,gold,29.68,18.6,True,0.013537906137184115,2025.0,7.0,6.0,True,False,False
O501803,C00031,P0003,1,32.76,2025-07-06,cancelled,credit card,central,0.2,Cleaning Product 85,cleaning,2024-07-15,7.92,s745,smoore@gmail.com,2024-07-28,femle,gold,32.76,24.839999999999996,True,0.025252525252525256,2025.0,7.0,6.0,False,False,True
O322242,C00495,P0016,1,47.62,2025-07-06,delayed,credit card,west,0.2,Cleaning Product 53,cleaning,2025-02-20,26.71,s715,mcclainkatherine@hotmail.com,2024-09-18,male,gold,47.62,20.909999999999997,True,0.007487832272557095,2025.0,7.0,6.0,False,True,False
O190175,C00388,P0005,3,37.89,2025-07-06,delayed,bank transfer,north,0.1,Personal Care Product 1,personal care,2024-10-20,31.1,s559,abbottdominique@yahoo.com,2024-09-23,male,gold,113.67,6.789999999999999,True,0.003215434083601286,2025.0,7.0,6.0,False,True,False
O272646,C00328,P0027,5,30.83,2025-07-06,delivered,paypal,central,0.05,Outdoors Product 55,outdoors,2024-09-21,23.05,s127,adamsnorman@moore.com,2024-07-08,female,gold,154.14999999999998,7.779999999999998,True,0.0021691973969631237,2025.0,7.0,6.0,True,False,False
O411881,C00201,P0019,3,12.56,2025-07-06,delivered,credit card,east,0.0,Kitchen Product 42,kitchen,2024-07-17,30.3,s993,christopher24@whitehead-hernandez.biz,2024-08-10,female,gold,37.68,-17.740000000000002,False,0.0,2025.0,7.0,6.0,True,False,False
O170570,C00076,P0030,3,28.32,2025-07-06,delivered,paypal,central,0.15,Cleaning Product 72,cleaning,2025-04-04,9.77,s455,jeffrey10@herring.com,2025-03-04,femle,gold,84.96000000000001,18.55,True,0.015353121801432957,2025.0,7.0,6.0,True,False,False
O619944,C00330,P0002,1,30.96,2025-07-06,delayed,credit card,south,0.15,Cleaning Product 82,cleaning,2024-08-18,34.23,s974,ryanhawkins@russell.com,2025-02-22,other,bronze,30.96,-3.269999999999996,True,0.0043821209465381246,2025.0,7.0,6.0,False,True,False
O490023,C00285,P0022,2,9.98,2025-07-06,delivered,credit card,central,0.0,Cleaning Product 86,cleaning,2024-10-04,19.77,s924,hendersonisabella@mcknight.info,2024-07-18,male,bronze,19.96,-9.79,False,0.0,2025.0,7.0,6.0,True,False,False
O865247,C00249,P0022,5,30.92,2025-07-06,delayed,credit card,east,0.1,Cleaning Product 86,cleaning,2024-10-04,19.77,s924,theresalong@grant-diaz.com,2024-09-21,male,gold,154.60000000000002,11.150000000000002,True,0.005058168942842691,2025.0,7.0,6.0,False,True,False
O315552,C00110,P0007,4,28.74,2025-07-06,delivered,bank transfer,north,0.1,Personal Care Product 64,personal care,2024-09-30,33.63,s379,harrisonricky@yahoo.com,2025-03-23,female,gold,114.96,-4.890000000000004,True,0.002973535533749628,2025.0,7.0,6.0,True,False,False
O135982,C00441,P0003,2,38.11,2025-07-06,delivered,paypal,north,0.0,Cleaning Product 85,cleaning,2024-07-15,7.92,s745,sean43@steele.com,,female,bronze,76.22,30.189999999999998,False,0.0,2025.0,7.0,6.0,True,False,False
O870079,C00274,P0013,1,49.71,2025-07-06,delayed,credit card,east,0.0,Cleaning Product 94,cleaning,2025-06-17,36.52,s914,cherylfowler@wilcox-robertson.com,2024-12-08,femle,gold,49.71,13.189999999999998,False,0.0,2025.0,7.0,6.0,False,True,False
O305482,C00404,P0003,4,9.79,2025-07-06,cancelled,bank transfer,north,0.15,Cleaning Product 85,cleaning,2024-07-15,7.92,s745,shawrachel@gmail.com,2024-09-30,male,gold,39.16,1.8699999999999992,True,0.01893939393939394,2025.0,7.0,6.0,False,False,True
O359666,C00397,P0007,4,12.07,2025-07-06,delayed,bank transfer,west,0.0,Personal Care Product 64,personal care,2024-09-30,33.63,s379,jacquelinemartin@mills-logan.com,2024-09-08,female,silver,48.28,-21.560000000000002,False,0.0,2025.0,7.0,6.0,False,True,False
O324940,C00262,P0002,1,20.42,2025-07-06,delayed,credit card,north,0.05,Cleaning Product 82,cleaning,2024-08-18,34.23,s974,ann44@gmail.com,2025-02-13,female,gold,20.42,-13.809999999999995,True,0.001460706982179375,2025.0,7.0,6.0,False,True,False
O364358,C00319,P0027,4,17.4,2025-07-06,delayed,paypal,east,0.0,Outdoors Product 55,outdoors,2024-09-21,23.05,s127,ebennett@gmail.com,2025-03-10,male,gold,69.6,-5.650000000000002,False,0.0,2025.0,7.0,6.0,False,True,False
O358447,C00059,P0004,3,39.89,2025-07-06,delayed,bank transfer,west,0.0,Kitchen Product 82,kitchen,2025-04-19,9.13,s589,cardenaskaren@hotmail.com,2024-11-03,female,bronze,119.67,30.759999999999998,False,0.0,2025.0,7.0,6.0,False,True,False
O216425,C00211,P0019,1,32.05,2025-07-06,delayed,bank transfer,south,0.15,Kitchen Product 42,kitchen,2024-07-17,30.3,s993,ingramjill@anderson-bell.com,2025-05-17,male,silver,32.05,1.7499999999999964,True,0.0049504950495049506,2025.0,7.0,6.0,False,True,False
O121091,C00276,P0022,4,12.88,2025-07-06,cancelled,credit card,central,0.2,Cleaning Product 86,cleaning,2024-10-04,19.77,s924,kevin90@yahoo.com,2025-03-16,female,gold,51.52,-6.889999999999999,True,0.010116337885685382,2025.0,7.0,6.0,False,False,True
